Date;All sky;Clear sky
2005\9\4;8.35;4.71
2005\9\5;8.11;4.67
2005\9\6;7.45;4.88
2005\9\7;7.84;4.83
2005\9\8;8.87;4.56
2005\9\9;8.06;3.98
2005\9\10;7.88;4.61
2005\9\11;7.18;4.46
2005\9\12;7.86;4.34
2005\9\13;7.37;3.87
2005\9\14;7.51;4.21
2005\9\15;8.00;4.08
2005\9\16;7.64;4.25
2005\9\17;7.58;4.17
2005\9\18;7.34;3.92
2005\9\19;7.80;3.47
2005\9\20;7.58;3.70
2005\9\21;7.85;2.42
2005\9\22;7.57;3.60
2005\9\23;7.58;3.42
2005\9\24;7.84;3.46
2005\9\25;6.95;3.39
2005\9\26;7.76;2.79
2005\9\27;7.05;3.02
2005\9\28;7.73;2.46
2005\9\29;8.22;3.07
2005\9\30;8.35;2.10
2005\10\1;7.52;2.65
2005\10\2;8.02;2.32
2005\10\3;7.96;2.57
2005\10\4;7.23;2.80
2005\10\5;6.85;2.87
2005\10\6;7.39;2.67
2005\10\7;7.15;2.64
2005\10\8;7.57;2.48
2005\10\9;6.66;2.57
2005\10\10;6.65;2.35
2005\10\11;7.08;2.31
2005\10\12;7.07;2.35
2005\10\13;6.81;2.32
2005\10\14;6.91;2.05
2005\10\15;7.12;2.18
2005\10\16;6.84;1.06
2005\10\17;7.08;2.05
2005\10\18;6.38;2.01
2005\10\19;6.50;1.95
2005\10\20;6.86;1.55
2005\10\21;7.06;1.82
2005\10\22;7.44;1.75
2005\10\23;7.07;0.94
2005\10\24;6.94;1.77
2005\10\25;6.32;1.76
2005\10\26;6.49;1.57
2005\10\27;6.53;1.57
2005\10\28;6.05;1.26
2005\10\29;5.52;1.25
2005\10\30;6.14;0.97
2005\10\31;6.18;1.20
2005\11\1;5.75;1.16
2005\11\2;5.80;1.31
2005\11\3;6.21;0.58
2005\11\4;7.24;0.81
2005\11\5;7.42;1.10
2005\11\6;7.12;1.08
2005\11\7;6.99;1.06
2005\11\8;6.59;1.05
2005\11\9;6.31;0.45
2005\11\10;6.04;0.93
2005\11\11;6.38;0.92
2005\11\12;6.40;0.91
2005\11\13;7.15;0.83
2005\11\14;7.04;0.85
2005\11\15;6.93;0.81
2005\11\16;6.31;0.83
2005\11\17;6.54;0.76
2005\11\18;6.40;0.70
2005\11\19;6.56;0.71
2005\11\20;5.99;0.66
2005\11\21;5.24;0.63
2005\11\22;5.70;0.60
2005\11\23;6.28;0.58
2005\11\24;5.74;0.56
2005\11\25;6.14;0.54
2005\11\26;6.24;0.52
2005\11\27;5.57;0.53
2005\11\28;6.76;0.48
2005\11\29;6.23;0.48
2005\11\30;6.08;0.47
2005\12\1;5.93;0.46
2005\12\2;5.89;0.44
2005\12\3;5.78;0.43
2005\12\4;5.67;0.42
2005\12\5;5.51;0.41
2005\12\6;5.71;0.40
2005\12\7;6.33;0.38
2005\12\8;5.26;0.38
2005\12\9;5.32;0.39
2005\12\10;5.81;0.37
2005\12\11;5.71;0.36
2005\12\12;6.18;0.34
2005\12\13;6.02;0.34
2005\12\14;5.52;0.35
2005\12\15;6.40;0.33
2005\12\16;6.17;0.33
2005\12\17;6.20;0.33
2005\12\18;6.01;0.33
2005\12\19;5.72;0.33
2005\12\20;5.03;0.33
2005\12\21;5.57;0.32
2005\12\22;4.93;0.33
2005\12\23;5.41;0.33
2005\12\24;6.05;0.33
2005\12\25;5.90;0.33
2005\12\26;6.00;0.34
2005\12\27;5.85;0.34
2005\12\28;5.38;0.35
2005\12\29;5.90;0.34
2005\12\30;5.64;0.34
2005\12\31;6.75;0.34
2006\1\1;6.14;0.36
2006\1\2;6.61;0.36
2006\1\3;6.40;0.37
2006\1\4;5.40;0.40
2006\1\5;6.18;0.40
2006\1\6;6.06;0.39
2006\1\7;5.73;0.42
2006\1\8;6.07;0.42
2006\1\9;5.01;0.45
2006\1\10;5.26;0.47
2006\1\11;6.47;0.46
2006\1\12;5.88;0.49
2006\1\13;6.12;0.51
2006\1\14;5.53;0.53
2006\1\15;5.99;0.55
2006\1\16;4.88;0.57
2006\1\17;5.22;0.63
2006\1\18;4.90;0.67
2006\1\19;5.02;0.69
2006\1\20;4.79;0.71
2006\1\21;4.96;0.73
2006\1\22;5.18;0.74
2006\1\23;5.29;0.77
2006\1\24;5.91;0.75
2006\1\25;6.05;0.79
2006\1\26;6.03;0.83
2006\1\27;6.31;0.87
2006\1\28;5.64;0.93
2006\1\29;5.70;1.01
2006\1\30;5.61;0.98
2006\1\31;4.60;1.03
2006\2\1;4.89;1.10
2006\2\2;5.37;1.15
2006\2\3;5.34;1.23
2006\2\4;5.18;1.26
