;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
2589;9951;УСХИ 6;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;108.78;43.6;16.8
2647;9953;Соер 4;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-10;15.0;45.0;122.1;43.6;17.3
2665;9959;Окская;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-10;15.0;45.0;137.64;40.2;17.4
2683;9960;Светлая;Пушкин;Россия;2006-05-10;2006-05-25;2006-07-06;15.0;41.0;415.14;39.7;18.0
2703;10043;Алтом;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-21;15.0;42.0;204.24;39.5;17.2
2722;10044;СибНИИСХ 6;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-06;17.0;25.0;313.02;41.8;18.2
2742;10388;Соер 13-91;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-13;15.0;34.0;146.52;41.5;18.0
2762;10539;RG-20;Пушкин;Канада;2006-05-25;2006-06-09;2006-07-13;15.0;34.0;226.44;48.6;15.0
2781;10623;Мадева;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-14;15.0;35.0;213.12;40.6;16.6
2799;10651;ПЭП 2;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-10;15.0;31.0;75.48;45.4;17.0
2817;10654;ПЭП 17;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-10;17.0;29.0;293.04;45.1;17.0
2836;10655;ПЭП 18;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-13;17.0;32.0;46.62;44.6;16.2
2855;10658;ПЭП 26;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-14;17.0;33.0;228.66;43.5;16.3
2874;10659;ПЭП 27;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-10;17.0;29.0;197.58;33.4;20.0
